BrandName,ModelGroup,ModelDescription,kModelMasterID,ModelNum,MFGModelNum,Summed_Sales,PartMFG,kInventoryID,kManufactureID,PartNum,Description,LongDescription,PartType,MIN_ImageOrder,Has_Image,SubbedPartNumbers,competitornumbers,reqManufactureID,reqMfgModelNum
General Electric,Dryer,Dryer,889514,PCVH640GJ1WW,,42308,GE,1482128,2,WE14M119          ,Complete Duct Trap Assembly,,Drum or Tub,1.0,1,"PS1017600,EAP1017600,FIX1017600,FRG1017600,PS1017991,EAP1017991,FIX1017991,FRG1017991,PS1020332,EAP1020332,FIX1020332,FRG1020332,WE14M105,WE1M573,WE1M574,","PS1482128,EAP1482128,FIX1482128,AP3995254",0,0
Frigidaire,Refrigerator,Refrigerator,331683,FRS6HR45KS4,,17255,Frigidaire,1526549,4,241716002         ,Ice Dispenser Actuator Rod,,,1.0,1,"241716001,5304455686,7241716002,PS1526548,EAP1526548,FIX1526548,FRG1526548,PS1532392,EAP1532392,FIX1532392,FRG1532392,PS2335145,EAP2335145,FIX2335145,FRG2335145,","PS1526549,EAP1526549,FIX1526549,,FRG1526549,AP3968180",0,0
Husqvarna,Lawn Tractor,Lawn Tractor,1190161,LT151,"(96011011100,960110111)(2006-01)",20055,Husqvarna,9015225,126,532193412,KEEPER BELT,,,1.0,1,,"PS9015225,EAP9015225,FIX9015225,",0,1
Husqvarna,Lawn Mower,Lawn Mower,1275606,2748GLS,(96043006500)(2008-12),25129,Husqvarna,16575300,126,596039401,Lawn Tractor Bolt 596039401,,,,0,,"PS16575300,EAP16575300,FIX16575300,",0,1
Kenmore,Refrigerator,Refrigerator,88513,10652522100                   ,,16513,Whirlpool,11742782,3,WP505587,"Sealer, Mastic (1 Qt.)",,,,0,"505587,528575,PS1377510,EAP1377510,FIX1377510,FRG1377510,PS2260282,EAP2260282,FIX2260282,FRG2260282,PS378200,EAP378200,FIX378200,FRG378200,PS378661,EAP378661,FIX378661,FRG378661,","PS11742782,EAP11742782,FIX11742782,",0,0
Kenmore,Refrigerator,Refrigerator,37585,25354732303                   ,,18088,Frigidaire,428730,4,218769500         ,LABEL-USE & CARE,,,,0,,"PS428730,EAP428730,FIX428730,,FRG428730,",0,0
Frigidaire,Refrigerator,Refrigerator,122717,FRS26KF5CW1                   ,,17746,Frigidaire,1991430,4,241860803,Ice Container and Auger Assembly,This assembly includes the auger and blades.,Ice Maker,1.0,1,"218842802,240323804,240323808,240323813,PS1525948,EAP1525948,FIX1525948,FRG1525948,PS429039,EAP429039,FIX429039,FRG429039,PS648782,EAP648782,FIX648782,FRG648782,PS725106,EAP725106,FIX725106,FRG725106,","PS1991430,EAP1991430,FIX1991430,,FRG1991430,AP4300918",0,0
Amana,Refrigerator,Refrigerator,820297,AFD2535DEW14,,16752,Whirlpool,1631368,3,67002816,CLIP- WATE,,,,0,"12251001,12251001SP,12619501,12678201,8171038,8171119,PS2008287,EAP2008287,FIX2008287,FRG2008287,PS2008542,EAP2008542,FIX2008542,FRG2008542,PS2268601,EAP2268601,FIX2268601,FRG2268601,PS2268683,EAP2268683,FIX2268683,FRG2268683,PS2361904,EAP2361904,FIX2361904,FRG2361904,PS2361905,EAP2361905,FIX2361905,FRG2361905,PS52252,EAP52252,FIX52252,FRG52252,PS52451,EAP52451,FIX52451,FRG52451,PS728053,EAP728053,FIX728053,FRG728053,PS885175,EAP885175,FIX885175,FRG885175,PS885254,EAP885254,FIX885254,FRG885254,","PS1631368,EAP1631368,FIX1631368,AP4077201",0,0
Frigidaire,Refrigerator,Refrigerator,1136578,FFSS2615TS1,,23049,Frigidaire,2363674,4,241812502,CHANNEL,,,,0,,"PS2363674,EAP2363674,FIX2363674,,FRG2363674,AP4432960",0,0
Frigidaire,Refrigerator,Refrigerator,839903,FPUS2698LF3,,20062,Frigidaire,899475,4,240599301         ,Upper Crisper Drawer Frame,Frame ONLY. Glass must be ordered separately.,Tray or Shelf,1.0,1,"240599302,PS1526063,EAP1526063,FIX1526063,FRG1526063,","PS899475,EAP899475,FIX899475,,FRG899475,AP3763926",0,0
